Demanda,ID,Nome da Rua
4,222545032,Rua Vicente Dias Barbosa
4,252966045,Rua Lourenço Dias
4,524271808,Avenida José Marra da SIlva
4,524271807,Avenida José Marra da Silva
4,526171607,Rua Firmino Lopes Câmara
4,222545039,Rua José Demétrio Coelho
4,222547328,Rua José Francisco de Faria
4,222547333,Rua Maria Taveira
4,222548862,Rua São Francisco de Assis
4,222548856,Rua Geraldo Menezes Fonseca
4,222547312,Rua 13 de Maio
4,505093790,Rua Guilherme Nunes
4,31608801,Rua José Demétrio
4,508470990,Rua Presidente Tancredo Neves
4,222545038,Rua Rio de Janeiro
4,483093121,Rua José Demétrio Coelho
4,222545013,Rua José Demétrio Coelho
4,222544992,Rua Vicente Dias Barbosa
4,222547311,Rua Bahia
4,225557076,Rua Custódio Nogueira Gontijo
4,222544997,Rua Canúto José Fernandes
4,222545027,Rua Cinco
4,222544993,Rua Jehova Guimarães
4,524261733,Rua Cônego João Parreiras Villaça
4,222545006,Rua Antônio Rodrigo Flori
4,222545037,Av. Padre Guilherme Nunes
4,222545033,Rua Geraldo Mano da Silva
4,222545031,Rua Paulo de Brito Menezes
4,222545035,Rua Doutor Geraldo Ferreira da Silva
4,222545020,Rua Nacib Miler
4,222544999,Rua Zonoastro Nogueira Contijo
4,222547334,Rua Alagoas
4,222547335,Rua Segipe
4,222545034,Rua Firmino Loper Câmara
4,222545022,Rua Vitor Epifânio Pereira
4,526171610,Av E
4,222548875,Av D
4,222548881,Rua Geni Mileib
4,524400774,Rua C
4,222547331,Rua Dona Elisa Nogueira
4,222545025,Rua Moisés Bechelaine
4,222547327,Rua José Fubá
4,222547330,Rua Minas Gerais
4,512596045,Rua A
4,222547326,Rua São Paulo
4,222545028,Rua Alfredo Mattar
4,222545026,Rua Josa de souza
4,222545029,Rua Adélino Mano
4,222545024,Rua Rafael Gomes Marra
4,222545014,Rua Sinfrônio Batista Jóia
4,222545021,Rua Jove Noqueira
4,508470997,Rua São Vicente
4,222547324,Rua Mato Grosso
4,222545030,Rua Joaquim Pacífico
4,524261746,Rua A
4,222547319,Rua Amapá
4,222545010,Rua Padre Libério
4,222547320,Rua Custódio Nogueira Gontijo
4,222545008,Rua Padre Guilherme Nunes
4,526171609,Rua Firmino Lopes Câmara
4,508470996,Rua Epifânio Pereira
4,512596042,Rua D
4,222545011,Rua Jove Nogueira Gontijo
4,222545016,Rua Geraldo Vilela da Fonseca
4,222545007,Rua Rafael Gomes Marra
4,508471000,Rua Tiradentes
4,524400766,Rua 04
4,222545018,Rua Goiás
4,524261755,Rua 03
4,524261744,Rua 05
4,524261756,Rua 02
4,222547322,Travessa Guilherme Nunes
4,524261734,Rua Cônego João Parreiras Villaça
4,524261757,Rua 01
4,222547323,Rua Rui Barbosa
4,524261745,Rua A
4,508470992,Rua Dona Santa
4,222545002,Rua Sergipe
4,524261747,Avenida Presidente Tancredo Neves
4,222545000,Rua Honorato Antônio de Oliveira
4,526171611,Rua Firmino Lopes Câmara
4,222545001,Rua Alagoas
4,222547314,Rua Rio Grande do Norte
4,524409235,Rua Antonio Gomes
4,524261748,Rua Lourenço Dias
4,508470998,Travessa Tiradentes
4,524261742,Rua Rui Barbosa
4,508470999,Rua Rui Barbosa
