Demanda,Nome da Rua
0,Avenida Olímpio Avelar
0,Avenida Presidente Juscelino Kubitscheck
0,Rua Joaquim da Silva Castro
0,Rua São Paulo
0,Rua Doutor Teixeira Soares
0,Avenida Vereador José Higino Filho
0,Avenida Vereador José Higino Filho
0,Rua I
0,Rua Francisco Cabral
0,Avenida Geraldo Almeida
0,R. Jose francisco de Oliveira
0,Avenida Brasília
0,Rua Professor Augusto Barbosa
0,Rua Deolinda Nogueira da Costa
0,Rua Nápolis
0,Rua Antônio José Barbosa
0,Rua Salgado Filho
0,Avenida Paulo de Brito
0,Avenida José Arantes
0,Rua Padre Remaclo Foxius
0,Rua Marechal Deodoro da Fonseca
0,Avenida Sebastião Jorge Lasmar
0,Avenida Rio Branco
0,Rua Salgado Filho
0,Rua Quintino Bocaiúva
0,Rua Cristóvão Soraggi
0,Avenida Ramiro Correia Fonseca
0,Avenida Juca Almeida
0,Rua Alvorada
0,Avenida Sebastião Jorge Lasmar
0,Rua Rafael Soraggi
0,Rua Maria José Belo Alvarenga
0,Rua Alda Caetano
0,Rua Agostinho Teles
0,Rua Vinícius Vespúcio
0,Rua Manoel Martins Vieira
0,Rua Brasil
0,Rua Carmelita de Castro
0,Rua José Pedro da Silva
0,Rua Fidélis Marinho da Costa
0,Rua José do Patrocínio
0,Rua Rosalina Georgina de Oliveira
0,Rua Francisca Teixeira Rodarte
0,Rua José Sebastião Oliveira
0,Rua Alberto Soraggi
0,Rua Rui dos Anjos Peirão
0,Rua Doutor Teixeira Soares
0,Rua Barão de Piumhi
0,Rua Geraldina Mendonça de Oliveira
0,Rua Costa Rica
0,Rua Primeiro de Maio
0,Rua Pains
0,Avenida Juca Pedro
0,Rua Domingos Pereira Porto
0,Rua Carlos Brandão
0,Rua Benjamin Constant
0,Rua Gislene Aparecida Mendonça
0,Rua Professora Ísis Maria Pereira
0,Avenida Paulo Lins
0,Av. Abílio Machado
0,Avenida Juca Almeida
0,Rua Rio de Janeiro
0,Avenida Paulo de Brito
0,Rua Nenem Belo
0,Estrada do Lixão
0,Rua Professor Franz
0,Rua Sete
0,Avenida Osvaldo Pereira
0,Avenida Rodolfo Barbosa de Freitas
0,Avenida Sebastião Jorge Lasmar
0,Rua Carolina Justina Viléla
0,Avenida Primeiro de Abril
0,Rua Val Paraíso
0,Rua Iago Pimentel
0,Avenida Juca Almeida
0,Rua Carlos Camarão
0,Rua Quatro
0,Rua Pará de Minas
0,Rua Rosimeire Silva Pereira
0,Rua Peixoto
0,Rua Amazonas
0,Rua Leandro Machado Araújo
0,Rua José Luis Guerra Barreiros
0,Rua 13 de Maio
0,Rua Zito Vaz
0,Rua Ponte Alta
0,Rua Itutinga
0,Rua Nove
0,Rua José Ferreira Barbosa
0,Rua Califórnia
0,Rua Ponte Alta
0,Rua Marcial Oliveira Mendonça
0,Rua Lindolfo Color
0,Rua Marciano Moserrat
0,Rua José Cassiano de Almeida
0,Rua Maria Evaristo Santos
0,Rua Governador Benedito Valadares
0,Rua Brandão de Castro
0,Rua Elisa Gomes
0,Rua Seis
0,Avenida Doutor Henrique Braga
0,Rua Primeiro de Maio
0,Rua Silviano Brandão
0,Rua Benjamin Guimarães
0,Rua George Khoury
0,Rua Jote Correa
0,Rua Professor Joaquim Rodarte
0,Rua Benjamin Guimarães
0,Rua Manoel Justino Nunes
0,Rua Padre Eustáquio
0,Rua Furnas
0,Rua Domingos Gontijo
0,Rua do Expedicionário
0,Rua Seis de Junho
0,Rua João Pedrosa
0,Rua Francisco Frade
0,Rua Maria Helena Ribeiro
0,Rua Jovino Mendes
0,Rua Ibrahim Inocêncio Silva
0,Rua Santa Cecília
0,Rua Barcelona
0,Rua do Rosário
0,Rua Geraldina Mendonça de Oliveira
0,Rua Barão de Piumhi
0,Rua Três
0,Rua Coronel Aureliano
0,Rua Bahia
0,Rua José Pedro da Silva
0,AvenidaProfessor Lulú
0,Rua José Cecílio
0,Rua Monsenhor João Ivo
0,Rua Professor Franz
0,Travessa Cinco
0,Rua Custódio José Soares
0,Rua Professor Franz
0,Rua Cinco
0,Rua Lúcia Marcionília
0,Rua maranhão
0,Rua Lassance Cunha
0,Rua Cinco
0,Rua Nicodemos Bueno dos Santos
0,Rua Divino Carlos
0,Rua Antônio Vaz da Silva
0,Rua Nicodemos Bueno dos Santos
0,Rua Um
0,Rua Almeida Pererira
0,Rua Jerônimo Teixeira
0,Rua Doutor Donato Andrade
0,Rua Ana Parreira Barbosa
0,Rua Doutor Ênio José Batista
0,Rua Floriano Peixoto
0,Rua Doutor Carlos Chagas
0,Rua Doutor Emanuel Dias
0,Rua José Teles Conceição
0,Rua Benvindo Mateus Oliveira
0,Rua Camilo Fonseca
0,Rua Sudário Teodoro de Melo
0,Rua Antônio José Barbosa
0,Rua Jonas Juvenal da Silva
0,Rua dos Missionários
0,Rua Laurindo Rodrigues
0,Av. Nossa Senhora das Merces
0,Rua Albertina Lourenço Almeida
0,Rua Álvaro Barbosa
0,Rua Inocêncio Gondim
0,Rua Doze
0,Rua Antônio José Barbosa
0,Rua Doutor Rodolfo Almeida
0,Rua Inocêncio Gondim
0,Praça São Vicente Férrer
0,Rua C
0,Rua Arquimedes Faria
0,Rua João da Mata Rodarte
0,Rua Eulália de Faria Nunes
0,Avenida Seis
0,Rua Pedrosa
0,Rua Eduardo Pereira da Rocha
0,Rua Lassance Cunha
